blk_no,street,postal,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,X1room_sold,X2room_sold,X3room_sold,X4room_sold,X5room_sold,exec_sold,multigen_sold,studio_apartment_sold,X1room_rental,X2room_rental,X3room_rental,other_room_rental,address,dist_to_park_centroid,dist_to_park_boundary,diff_boundary_centroid,park_area,park_length,park_name,SVY21_X,SVY21_Y,Longitude,Latitude
1,BEACH RD,190001,16,1970,Y,Y,N,N,N,N,KWN,142,0,1,138,1,2,0,0,0,0,0,0,0,1 BEACH ROAD BEACH ROAD GARDENS SINGAPORE 190001,147.4102246,147.4150541,0.004829505,7592.877923,591.5908197,KAMPONG GLAM PK,31467.83274,31778.894,103.8644787,1.303671351
1,BEDOK STH AVE 1,460001,14,1975,Y,N,N,Y,N,N,BD,206,0,0,204,0,2,0,0,0,0,0,0,0,1 BEDOK SOUTH AVENUE 1 MY FIRST SKOOL SINGAPORE 460001,362.2615586,362.2635942,0.002035603,867.3737808,710.6720952,SENNETT AVE LINEAR PK,39173.8129,33678.85598,103.9337211,1.32085209
1,CHAI CHEE RD,461001,15,1982,Y,N,N,N,N,N,BD,102,0,0,0,10,92,0,0,0,0,0,0,0,1 CHAI CHEE ROAD PING YI GARDENS SINGAPORE 461001,527.7874788,527.7857575,-0.001721338,3429.100975,1559.180781,JALAN SENANG LINEAR PARK,37949.02647,34465.73857,103.922716,1.327968792
1,CHANGI VILLAGE RD,500001,4,1975,Y,Y,N,N,N,N,PRC,55,0,0,54,0,1,0,0,0,0,0,0,0,1 CHANGI VILLAGE ROAD SINGAPORE 500001,161.5180589,161.5206504,0.002591505,4935.680312,362.3309112,CHANGI POINT WATERFRONT PK,45192.29929,41164.5012,103.9878045,1.388546562
1,DELTA AVE,160001,25,1982,Y,N,N,N,N,N,BM,96,0,0,0,0,96,0,0,0,0,0,0,0,1 DELTA AVENUE SINGAPORE 160001,343.8974689,343.897994,0.000525104,3395.09196,244.2945385,GANGES AVE OS,27473.0908,30496.63612,103.8285841,1.292075251
1,DOVER RD,130001,12,1975,Y,N,N,Y,N,N,QT,125,0,0,118,0,7,0,0,0,0,0,0,0,1 DOVER ROAD DOVER COMMUNITY CENTRE SINGAPORE 130001,633.9586151,633.9556025,-0.003012644,89556.3881,3227.025292,ONE-NORTH PARK,22430.23193,31652.7174,103.7832717,1.302529947
1,EUNOS CRES,400001,14,1977,Y,N,N,Y,N,N,GL,247,0,0,0,0,0,0,0,0,0,247,0,0,1 EUNOS CRESCENT SINGAPORE 400001,331.0286338,331.0333113,0.004677537,1033.386288,155.746269,JLN YASIN INTERIM PK,35695.14219,33657.23665,103.9024634,1.320657645
1,EVERTON PK,81001,12,1965,Y,Y,N,N,N,N,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,1 EVERTON PARK EVERTON PARK SINGAPORE 081001,176.8706339,176.8677521,-0.002881836,13563.79329,1383.298281,DUXTON PLAIN PK,28743.72096,28876.85814,103.8400012,1.277426543
1,GHIM MOH RD,270001,15,1975,Y,N,N,Y,N,N,QT,220,0,0,216,0,4,0,0,0,0,0,0,0,1 GHIM MOH ROAD GHIM MOH GREEN SINGAPORE 270001,183.3251755,183.3233778,-0.001797674,754248.0541,43075.71525,RAIL CORRIDOR,22829.04815,32797.13881,103.786855,1.312879757
1,HAIG RD,430001,15,1976,Y,N,N,Y,N,N,GL,219,0,0,213,0,5,0,0,0,0,0,1,0,1 HAIG ROAD MY FIRST SKOOL SINGAPORE 430001,66.71216643,66.71271046,0.000544031,1504.845564,542.6316743,HAIG WALK EXTENSION,35165.4266,32621.49718,103.8977034,1.311290918
