"blk_no","street","max_floor_lvl","year_completed","residential","commercial","market_hawker","miscellaneous","multistorey_carpark","precinct_pavilion","bldg_contract_town","total_dwelling_units","X1room_sold","X2room_sold","X3room_sold","X4room_sold","X5room_sold","exec_sold","multigen_sold","studio_apartment_sold","X1room_rental","X2room_rental","X3room_rental","other_room_rental","postal","address","dist_to_park_centroid","dist_to_park_boundary","park_area","park_length","park_name","diff_boundary_centroid","SVY21_X","SVY21_Y","longitude","latitude"
"1","BEACH RD",16,1970,"Y","Y","N","N","N","N","KWN",142,0,1,138,1,2,0,0,0,0,0,0,0,"190001","1 BEACH ROAD BEACH ROAD GARDENS SINGAPORE 190001",147.413979585521,147.413979585521,7592.87792309,591.590819686834,"KAMPONG GLAM PK",0,31467.8370920621,31778.8940404325,103.8644787,1.303671351
"1","BEDOK STH AVE 1",14,1975,"Y","N","N","Y","N","N","BD",206,0,0,204,0,2,0,0,0,0,0,0,0,"460001","1 BEDOK SOUTH AVENUE 1 MY FIRST SKOOL SINGAPORE 460001",362.261199883053,362.261199883053,867.3737809,710.67209522003,"SENNETT AVE LINEAR PK",0,39173.8133053637,33678.8559951267,103.9337211,1.32085209
"1","CANTONMENT RD",2,2010,"N","Y","N","N","N","N","CT",0,0,0,0,0,0,0,0,0,0,0,0,0,"80001","1 CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 080001",73.879139308963,73.879139308963,13563.793288205,1383.29828095433,"DUXTON PLAIN PK",0,28883.9280921473,28833.5354388812,103.841261,1.277034744
"1","CHAI CHEE RD",15,1982,"Y","N","N","N","N","N","BD",102,0,0,0,10,92,0,0,0,0,0,0,0,"461001","1 CHAI CHEE ROAD PING YI GARDENS SINGAPORE 461001",527.785504510126,527.785504510126,3429.10097507,1559.18078108762,"JALAN SENANG LINEAR PARK",0,37949.024454613,34465.7385952406,103.922716,1.327968792
"1","CHANGI VILLAGE RD",4,1975,"Y","Y","N","N","N","N","PRC",55,0,0,54,0,1,0,0,0,0,0,0,0,"500001","1 CHANGI VILLAGE ROAD SINGAPORE 500001",161.518196368882,161.518196368882,4935.680312455,362.330911228244,"CHANGI POINT WATERFRONT PK",0,45192.2989070243,41164.5011671491,103.9878045,1.388546562
"1","DELTA AVE",25,1982,"Y","N","N","N","N","N","BM",96,0,0,0,0,96,0,0,0,0,0,0,0,"160001","1 DELTA AVENUE SINGAPORE 160001",343.895118475661,343.895118475661,3395.091960165,244.294538479126,"GANGES AVE OS",0,27473.0932875144,30496.6361349169,103.8285841,1.292075251
"1","DOVER RD",12,1975,"Y","N","N","Y","N","N","QT",125,0,0,118,0,7,0,0,0,0,0,0,0,"130001","1 DOVER ROAD DOVER COMMUNITY CENTRE SINGAPORE 130001",633.955353875774,633.955353875774,89556.388095785,3227.0252916568,"ONE-NORTH PARK",0,22430.2361041691,31652.7173583365,103.7832717,1.302529947
"1","EUNOS CRES",14,1977,"Y","N","N","Y","N","N","GL",247,0,0,0,0,0,0,0,0,0,247,0,0,"400001","1 EUNOS CRESCENT SINGAPORE 400001",331.033583731322,331.033583731322,1033.38628762,155.74626896332,"JLN YASIN INTERIM PK",0,35695.1371725338,33657.2366262494,103.9024634,1.320657645
"1","EVERTON PK",12,1965,"Y","Y","N","N","N","N","BM",95,0,0,62,0,33,0,0,0,0,0,0,0,"81001","1 EVERTON PARK EVERTON PARK SINGAPORE 081001",176.86945903243,176.86945903243,13563.793288205,1383.29828095433,"DUXTON PLAIN PK",0,28743.7222835506,28876.8581480179,103.8400012,1.277426543
"1","GEYLANG SERAI",2,2009,"N","Y","N","N","N","N","GL",0,0,0,0,0,0,0,0,0,0,0,0,0,"408528","1 ENGKU AMAN TURN SOUTH EAST COMMUNITY DEVELOPMENT COUNCIL SINGAPORE 408528",477.329956235542,477.329956235542,2880.29094643,239.082035135488,"GUILLEMARD RD OS",0,35042.2650759749,33191.9786443841,103.8965969,1.316450176
